lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox
masq_pa,~,masq_aa,,-0.004606707288860041,0.02993407157605607,-0.15389511170090522,0.877692438486712,-0.06175001032502152,0.054372418785269265,-0.004606707288860041,-0.004115597672698085,-3.977669618144407e-4
masq_na,~,sex,,0.07845445828854755,0.2691302377693271,0.2915111246466154,0.7706604369208718,-0.44333594375416774,0.6077538475590577,0.07845445828854755,0.005574728377957242,0.013211466590351197
masq_na,~,pswq_total,,0.17990622727757366,0.013381885334531083,13.44401201924346,0,0.15285388076244488,0.20562882513031192,0.17990622727757366,0.2909433982804476,0.030295602862135274
masq_na,~,masq_aa,,0.2716533868925358,0.01122306098605533,24.20492833729279,0,0.2488103724068791,0.2932257839629837,0.2716533868925358,0.4733176849523905,0.0457455155943685
phq_total,~,masq_pa,c1,-0.07593472282973908,0.009795780881262768,-7.751778418705338,9.103828801926284e-15,-0.09524070308201352,-0.056554762920181384,-0.07593472282973908,-0.15586623540747865,-0.15586623540747865
phq_total,~,masq_na,ci,0.46387388952268427,0.023190872751872437,20.002433478284296,0,0.4192178276221466,0.5099823509261806,0.46387388952268427,0.48822076755749994,0.48822076755749994
reminiscing,~,masq_pa,a1,0.28227174694882806,0.01747020893417189,16.157319469528606,0,0.24903552026529657,0.3178647552780645,0.28227174694882806,0.39319102462403865,0.39319102462403865
savoring_moment,~,masq_pa,a2,0.3637165679641373,0.016307483040949818,22.303660660005377,0,0.33156179106873684,0.39552880691310516,0.3637165679641373,0.4573582392750064,0.4573582392750064
anticipating,~,masq_pa,a3,0.3022016203391719,0.017666863081201488,17.10556191838782,0,0.26713599092629103,0.3364912546341907,0.3022016203391719,0.40685902627196474,0.40685902627196474
phq_total,~,reminiscing,b1,0.007592997061298743,0.01947701711518344,0.3898439384426875,0.696651950995836,-0.031271546153077576,0.04522997317562501,0.007592997061298743,0.011188933206950065,0.011188933206950065
phq_total,~,savoring_moment,b2,-0.04123137528703992,0.018235471500015896,-2.261053424749888,0.02375594900250122,-0.0768554209213633,-0.005938211586315315,-0.04123137528703992,-0.06730479911018533,-0.06730479911018533
phq_total,~,anticipating,b3,0.004482051588401692,0.01732411699775682,0.2587174624243211,0.7958532451171474,-0.028729300446936508,0.03913613831146152,0.004482051588401692,0.0068334704110872505,0.0068334704110872505
reminiscing,~,masq_na,ai,-0.23016031333853304,0.04507842814664277,-5.105775041441286,3.2944142613899885e-7,-0.3183137422085339,-0.14119209579886635,-0.23016031333853304,-0.16438845435765465,-0.16438845435765465
savoring_moment,~,masq_na,aii,-0.44170184091678116,0.04130444260408147,-10.693809504964356,0,-0.5199558659846812,-0.3591780251115436,-0.44170184091678116,-0.2847916944377636,-0.2847916944377636
anticipating,~,masq_na,aiii,-0.164398472949847,0.046405535518460224,-3.5426478999353197,3.961312213149881e-4,-0.25634064234098536,-0.07273967820079358,-0.164398472949847,-0.11348791921116065,-0.11348791921116065
masq_pa,~~,masq_na,,-21.080290409476046,1.4727302108360885,-14.313748882430058,0,-24.025079499606164,-18.229756624208523,-21.080290409476046,-0.40623001731504405,-0.40623001731504405
savoring_moment,~~,anticipating,,26.30983600793167,1.5072309221322393,17.455743258446322,0,23.520348907903315,29.38672943884672,26.30983600793167,0.5462732306134518,0.5462732306134518
reminiscing,~~,anticipating,,32.35251629764245,1.6451487453251756,19.665404960843066,0,29.381701341936086,35.86732493418964,32.35251629764245,0.6421957512346654,0.6421957512346654
